item                              mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
TreeHeight.t:6450_introns         0.00047  2.97E-6  9.29E-5  0.00046  0.000301 0.000656 4933685. 979.3600 0.000461
TreeHeight.t:6460_introns         0.000326 2.08E-6  8.56E-5  0.000315 0.000177 0.000498 2850265. 1695.230 0.000315
TreeHeight.t:6462_introns         0.000765 4.8E-6   0.000149 0.000749 0.000496 0.001066 5011625. 964.1292 0.000751
TreeHeight.t:6494_introns         0.000168 1.13E-6  3.23E-5  0.000164 0.000111 0.000234 5955615. 811.3108 0.000165
TreeHeight.t:6500_introns         0.000899 5.67E-6  0.00018  0.000879 0.000577 0.001261 4811294. 1004.273 0.000882
TreeHeight.t:6639_introns         0.0003   1.87E-6  6.97E-5  0.000291 0.000177 0.00044  3466150. 1394.012 0.000292
TreeHeight.t:6641_introns         0.000325 1.98E-6  8.57E-5  0.000314 0.000174 0.000496 2584019. 1869.898 0.000314
TreeHeight.t:6689_introns         0.000313 1.97E-6  7.24E-5  0.000304 0.000183 0.000458 3556008. 1358.786 0.000305
TreeHeight.t:6947_introns         0.001034 6.46E-6  0.000222 0.001009 0.000632 0.001475 4089374. 1181.563 0.001011
TreeHeight.t:6992_introns         0.000511 3.15E-6  0.000135 0.000493 0.000272 0.000781 2609271. 1851.802 0.000494
TreeHeight.t:7141_introns         0.000362 2.31E-6  9.49E-5  0.00035  0.000196 0.000553 2861677. 1688.469 0.00035 
TreeHeight.t:7174_introns         0.000473 3.04E-6  0.000106 0.00046  0.000283 0.000686 3947906. 1223.903 0.000461
TreeHeight.t:7313_introns         0.000449 2.83E-6  9.22E-5  0.000439 0.000284 0.000634 4545709. 1062.948 0.00044 
TreeHeight.t:7324_introns         0.000254 1.5E-6   4.71E-5  0.000249 0.000169 0.000349 4887585. 988.5974 0.00025 
TreeHeight.t:7333_introns         0.00062  3.82E-6  0.000161 0.0006   0.000336 0.000942 2728112. 1771.134 0.0006  
TreeHeight.t:7572_introns         0.000196 1.26E-6  5.74E-5  0.000186 0.000103 0.000312 2321719. 2081.153 0.000188
TreeHeight.t:7602_introns         0.000342 2.13E-6  7.42E-5  0.000333 0.000209 0.000491 3984634. 1212.622 0.000334
treeLikelihood.4527_introns       -3058.64 0.08753  6.631797 -3058.22 -3071.78 -3046.13 841718.8 5740.461 NaN     
treeLikelihood.4848_introns       -1860.57 0.234459 7.710264 -1860.08 -1875.65 -1846.07 4467951. 1081.447 NaN     
treeLikelihood.4932_introns       -1615.18 0.112359 5.015773 -1614.66 -1625.20 -1606.05 2424677. 1992.782 NaN     
treeLikelihood.4992_introns       -2975.30 0.070619 5.503614 -2974.75 -2986.24 -2965.33 795539.0 6073.687 NaN     
